State,Num of killer
AL,8
AK,3
AZ,6
AR,5
CA,58
CO,5
CT,4
DE,1
FL,19
GA,16
HI,0
ID,2
IL,31
IN,15
IA,6
KS,3
KY,5
LA,14
ME,0
MD,4
MA,9
MI,19
MN,1
MS,2
MO,15
MT,3
NE,0
NV,0
NH,1
NJ,9
NM,2
NY,31
NC,10
ND,0
OH,22
OK,3
OR,11
PA,15
RI,3
SC,8
SD,2
TN,4
TX,30
UT,4
VT,1
VA,13
WA,10
WV,3
WI,3
WY,0
West Germany,3
New South Wales,1
Mexico City,1
Jalisco,1
Puebla,1
Chihuahua,1
Mendoza,1
San Salvador,1
SFSR,1
Lithuania,1
Paraná,1
San Juan,1
Atlantico,1
Phước Tuy,1
British Columbia,1
